10000 78408
29 130 4.101219
30 29 4.172532
30 31 4.313981
30 129 4.103657
30 130 4.172549
30 131 4.242719
31 30 4.313981
31 32 4.455561
31 130 4.245075
31 131 4.314099
31 132 4.384348
32 31 4.455561
32 33 4.597218
32 131 4.386629
32 132 4.455758
32 133 4.526048
33 32 4.597218
33 34 4.738868
33 132 4.528257
33 133 4.597452
33 134 4.667734
34 33 4.738868
34 35 4.880435
34 133 4.669876
34 134 4.739089
34 135 4.809327
35 34 4.880435
35 36 5.021866
35 134 4.811406
35 135 4.880603
35 136 4.950772
36 35 5.021866
36 37 5.163141
36 135 4.952791
36 136 5.021952
36 137 5.092050
37 36 5.163141
37 38 5.304280
37 136 5.094013
37 137 5.163133
37 138 5.233179
38 37 5.304280
38 39 5.445372
38 137 5.235089
38 138 5.304199
38 139 5.374251
39 38 5.445372
39 40 5.586593
39 138 5.376111
39 139 5.445280
39 140 5.515441
40 39 5.586593
40 41 5.728238
40 139 5.517254
40 140 5.586615
40 141 5.657049
41 40 5.728238
41 42 5.870720
41 140 5.658816
41 141 5.728573
41 142 5.799492
42 41 5.870720
42 43 6.014501
42 141 5.801217
42 142 5.871617
42 143 5.943241
43 42 6.014501
43 44 6.159950
43 142 5.944923
43 143 6.016196
43 144 6.088667
44 43 6.159950
44 45 6.307125
44 143 6.090310
44 144 6.162561
44 145 6.235836
45 44 6.307125
45 46 6.455619
45 144 6.237439
45 145 6.310553
45 146 6.384340
46 45 6.455619
46 47 6.604463
46 145 6.385906
46 146 6.459467
46 147 6.533205
47 46 6.604463
47 48 6.752366
47 146 6.534735
47 147 6.608106
47 148 6.681131
48 47 6.752366
48 49 6.897962
48 147 6.682628
48 148 6.755081
48 149 6.826746
49 48 6.897962
49 50 7.040328
49 148 6.828211
49 149 6.899177
49 150 6.969120
50 49 7.040328
50 51 7.179267
50 149 6.970555
50 150 7.039790
50 151 7.108057
51 50 7.179267
51 52 7.315357
51 150 7.109463
51 151 7.177125
51 152 7.244137
52 51 7.315357
52 53 7.449761
52 151 7.245517
52 152 7.312117
52 153 7.378534
53 52 7.449761
53 54 7.583866
53 152 7.379889
53 153 7.446121
53 154 7.512642
54 53 7.583866
54 55 7.718797
54 153 7.513973
54 154 7.580440
54 155 7.647591
55 54 7.718797
55 56 7.855252
55 154 7.648899
55 155 7.716033
55 156 7.784078
56 55 7.855252
56 57 7.993386
56 155 7.785363
56 156 7.853319
56 157 7.922254
57 56 7.993386
57 58 8.132979
57 156 7.923516
57 157 7.992239
57 158 8.061893
58 57 8.132979
58 59 8.273615
58 157 8.063133
58 158 8.132438
58 159 8.202573
59 58 8.273615
59 60 8.414869
59 158 8.203792
59 159 8.273468
59 160 8.343865
60 59 8.414869
60 61 8.556406
60 159 8.345064
60 160 8.414931
60 161 8.485433
61 60 8.556406
61 62 8.698010
61 160 8.486611
61 161 8.556549
61 162 8.627060
62 61 8.698010
62 63 8.839572
62 161 8.628219
62 162 8.698157
62 163 8.768636
63 62 8.839572
63 64 8.981043
63 162 8.769775
63 163 8.839684
63 164 8.910114
64 63 8.981043
64 65 9.122426
64 163 8.911237
64 164 8.981107
64 165 9.051498
65 64 9.122426
65 66 9.263740
65 164 9.052603
65 165 9.122443
65 166 9.192809
66 65 9.263740
66 67 9.405021
66 165 9.193897
66 166 9.263722
66 167 9.334084
67 66 9.405021
67 68 9.546309
67 166 9.335155
67 167 9.404987
67 168 9.475364
68 67 9.546309
68 69 9.687643
68 167 9.476418
68 168 9.546280
68 169 9.616687
69 68 9.687643
69 70 9.829040
69 168 9.617726
69 169 9.687630
69 170 9.758074
70 69 9.829040
70 71 9.970495
70 169 9.759098
70 170 9.829046
70 171 9.899521
71 70 9.970495
71 72 10.111985
71 170 9.900531
71 171 9.970514
71 172 10.041005
72 71 10.111985
72 73 10.253471
72 171 10.042001
72 172 10.112000
72 173 10.182489
73 72 10.253471
73 74 10.394925
73 172 10.183472
73 173 10.253471
73 174 10.323944
74 73 10.394925
74 75 10.536334
74 173 10.324913
74 174 10.394901
74 175 10.465357
75 74 10.536334
75 76 10.677706
75 174 10.466312
75 175 10.536291
75 176 10.606735
76 75 10.677706
76 77 10.819060
76 175 10.607677
76 176 10.677654
76 177 10.748099
77 76 10.819060
77 78 10.960423
77 176 10.749029
77 177 10.819016
77 178 10.889472
78 77 10.960423
78 79 11.101809
78 177 10.890389
78 178 10.960395
78 179 11.030868
79 78 11.101809
79 80 11.243221
79 178 11.031775
79 179 11.101802
79 180 11.172292
80 79 11.243221
80 81 11.384656
80 179 11.173186
80 180 11.243235
80 181 11.313736
81 80 11.384656
81 82 11.526100
81 180 11.314619
81 181 11.384682
81 182 11.455188
82 81 11.526100
82 83 11.667542
82 181 11.456060
82 182 11.526132
82 183 11.596636
83 82 11.667542
83 84 11.808972
83 182 11.597498
83 183 11.667571
83 184 11.738070
84 83 11.808972
84 85 11.950388
84 183 11.738922
84 184 11.808995
84 185 11.879488
85 84 11.950388
85 86 12.091792
85 184 11.880330
85 185 11.950402
85 186 12.020892
86 85 12.091792
86 87 12.233189
86 185 12.021724
86 186 12.091798
86 187 12.162288
87 86 12.233189
87 88 12.374586
87 186 12.163110
87 187 12.233190
87 188 12.303682
88 87 12.374586
88 89 12.515992
88 187 12.304496
88 188 12.374585
88 189 12.445086
89 88 12.515992
89 90 12.657410
89 188 12.445889
89 189 12.515991
89 190 12.586501
90 89 12.657410
90 91 12.798839
90 189 12.587296
90 190 12.657411
90 191 12.727927
91 90 12.798839
91 92 12.940274
91 190 12.728713
91 191 12.798840
91 192 12.869361
92 91 12.940274
92 93 13.081708
92 191 12.870138
92 192 12.940272
92 193 13.010795
93 92 13.081708
93 94 13.223135
93 192 13.011563
93 193 13.081701
93 194 13.152223
94 93 13.223135
94 95 13.364552
94 193 13.152983
94 194 13.223124
94 195 13.293642
95 94 13.364552
95 96 13.505960
95 194 13.294394
95 195 13.364537
95 196 13.435054
96 95 13.505960
96 97 13.647366
96 195 13.435799
96 196 13.505944
96 197 13.576464
97 96 13.647366
97 98 13.788772
97 196 13.577200
97 197 13.647352
97 198 13.717875
98 97 13.788772
98 99 13.930184
98 197 13.718604
98 198 13.788765
98 199 13.859293
99 98 13.930184
99 100 14.073823
99 198 13.860014
99 199 13.930184
99 200 14.003038
100 0 0.100130
100 1 0.141421
100 101 0.100130
100 200 0.224116
100 201 0.141774
101 1 0.100130
101 0 0.000000
101 1 0.100130
101 200 0.200250
101 201 0.100120
101 2 0.200250
101 102 0.100120
101 202 0.000000
102 2 0.224109
102 1 0.141774
102 2 0.224109
102 201 0.141421
102 202 0.100125
102 3 0.316804
102 103 0.224045
102 203 0.141714
103 3 0.361307
103 2 0.283487
103 3 0.361307
103 202 0.200207
103 203 0.224002
103 4 0.447975
103 104 0.361166
103 204 0.283301
104 4 0.500846
104 3 0.425066
104 4 0.500846
104 203 0.316637
104 204 0.361061
104 5 0.583882
104 105 0.500635
104 205 0.424749
105 5 0.641092
105 4 0.566496
105 5 0.641092
105 204 0.447674
105 205 0.500466
105 6 0.721772
105 106 0.640832
105 206 0.566071
106 6 0.781613
106 5 0.707782
106 6 0.781613
106 205 0.583470
106 206 0.640634
106 7 0.860682
106 107 0.781355
106 207 0.707331
107 7 0.922302
107 6 0.848983
107 7 0.922302
107 206 0.721330
107 207 0.781175
107 8 1.000223
107 108 0.922093
107 208 0.848601
108 8 1.063149
108 7 0.990174
108 8 1.063149
108 207 0.860304
108 208 0.921980
108 9 1.140232
108 109 1.063033
108 209 0.989950
109 9 1.204174
109 8 1.131428
109 9 1.204174
109 208 1.000001
109 209 1.063022
109 10 1.280625
109 110 1.204172
109 210 1.131418
110 10 1.345378
110 9 1.272792
110 10 1.345378
110 209 1.140222
110 210 1.204271
110 11 1.421324
110 111 1.345480
110 211 1.272995
111 11 1.486727
111 10 1.414271
111 11 1.486727
111 210 1.280826
111 211 1.345673
111 12 1.562245
111 112 1.486906
111 212 1.414639
112 12 1.628166
112 11 1.555831
112 12 1.628166
112 211 1.421691
112 212 1.487156
112 13 1.703300
112 113 1.628378
112 213 1.556288
113 13 1.769626
113 12 1.697419
113 13 1.769626
113 212 1.562701
113 213 1.628641
113 14 1.844408
113 114 1.769832
113 214 1.697881
114 14 1.911051
114 13 1.838978
114 14 1.911051
114 213 1.703760
114 214 1.770067
114 15 1.985507
114 115 1.911216
114 215 1.839370
115 15 2.052404
115 14 1.980464
115 15 2.052404
115 214 1.844799
115 215 1.911396
115 16 2.126569
115 116 2.052513
115 216 1.980745
116 16 2.193677
116 15 2.121861
116 16 2.193677
116 215 1.985788
116 216 2.052623
116 17 2.267588
116 117 2.193725
116 217 2.122013
117 17 2.334889
117 16 2.263173
117 17 2.334889
117 216 2.126720
117 217 2.193771
117 18 2.408594
117 118 2.334892
117 218 2.263217
118 18 2.476083
118 17 2.404438
118 18 2.476083
118 217 2.267632
118 218 2.334891
118 19 2.549630
118 119 2.476064
118 219 2.404415
119 19 2.617312
119 18 2.545705
119 19 2.617312
119 218 2.408570
119 219 2.476041
119 20 2.690743
119 120 2.617293
119 220 2.545662
120 20 2.758623
120 19 2.687024
120 20 2.758623
120 219 2.549587
120 220 2.617277
120 21 2.831969
120 121 2.758623
120 221 2.687008
121 21 2.900043
121 20 2.828436
121 21 2.900043
121 220 2.690727
121 221 2.758629
121 22 2.973313
121 122 2.900064
121 222 2.828463
122 22 3.041561
122 21 2.969948
122 22 3.041561
122 221 2.831996
122 222 2.900092
122 23 3.114744
122 123 3.041586
122 223 2.970004
123 23 3.183128
123 22 3.111532
123 23 3.183128
123 222 2.973369
123 223 3.041619
123 24 3.256199
123 124 3.183130
123 224 3.111570
124 24 3.324671
124 23 3.253126
124 24 3.324671
124 223 3.114782
124 224 3.183137
124 25 3.397602
124 125 3.324621
124 225 3.253088
125 25 3.466119
125 24 3.394657
125 25 3.466119
125 224 3.256160
125 225 3.324578
125 26 3.538901
125 126 3.466008
125 226 3.394508
126 26 3.607447
126 25 3.536074
126 26 3.607447
126 225 3.397452
126 226 3.465914
126 27 3.680094
126 127 3.607291
126 227 3.535828
127 27 3.748674
127 26 3.677376
127 27 3.748674
127 226 3.538655
127 227 3.607166
127 28 3.821228
127 128 3.748517
127 228 3.677096
128 28 3.889879
128 27 3.818610
128 28 3.889879
128 227 3.679815
128 228 3.748410
128 29 3.962388
128 129 3.889770
128 229 3.818398
129 29 4.031147
129 28 3.959864
129 29 4.031147
129 228 3.821016
129 229 3.889731
129 30 4.103657
129 130 4.031133
129 230 3.959812
130 30 4.172549
130 29 4.101219
130 30 4.172549
130 229 3.962337
130 230 4.031193
130 31 4.245075
130 131 4.172644
130 231 4.101376
131 31 4.314099
131 30 4.242719
131 31 4.314099
131 230 4.103813
131 231 4.172806
131 32 4.386629
131 132 4.314284
131 232 4.243066
132 32 4.455758
132 31 4.384348
132 32 4.455758
132 231 4.245422
132 232 4.314523
132 33 4.528257
132 133 4.455992
132 233 4.384820
133 33 4.597452
133 32 4.526048
133 33 4.597452
133 232 4.387100
133 233 4.456263
133 34 4.669876
133 134 4.597681
133 234 4.526545
134 34 4.739089
134 33 4.667734
134 34 4.739089
134 233 4.528753
134 234 4.597930
134 35 4.811406
134 135 4.739267
134 235 4.668157
135 35 4.880603
135 34 4.809327
135 35 4.880603
135 234 4.670298
135 235 4.739452
135 36 4.952791
135 136 4.880696
135 236 4.809600
136 36 5.021952
136 35 4.950772
136 36 5.021952
136 235 4.811679
136 236 4.880789
136 37 5.094013
136 137 5.021948
136 237 4.950855
137 37 5.163133
137 36 5.092050
137 37 5.163133
137 236 4.952874
137 237 5.021934
137 38 5.235089
137 138 5.163041
137 238 5.091938
138 38 5.304199
138 37 5.233179
138 38 5.304199
138 237 5.093902
138 238 5.162942
138 39 5.376111
138 139 5.304066
138 239 5.232942
139 39 5.445280
139 38 5.374251
139 39 5.445280
139 238 5.234853
139 239 5.303944
139 40 5.517254
139 140 5.445200
139 240 5.374046
140 40 5.586615
140 39 5.515441
140 40 5.586615
140 239 5.375907
140 240 5.445185
140 41 5.658816
140 141 5.586748
140 241 5.515556
141 41 5.728573
141 40 5.657049
141 41 5.728573
141 240 5.517369
141 241 5.587041
141 42 5.801217
141 142 5.729130
141 242 5.657900
142 42 5.871617
142 41 5.799492
142 42 5.871617
142 241 5.659667
142 242 5.729989
142 43 5.944923
142 143 5.872822
142 243 5.801560
143 43 6.016196
143 42 5.943241
143 43 6.016196
143 242 5.803284
143 243 5.874490
143 44 6.090310
143 144 6.018206
143 244 5.946924
144 44 6.162561
144 43 6.088667
144 44 6.162561
144 243 5.948606
144 244 6.020808
144 45 6.237439
144 145 6.165349
144 245 6.094063
145 45 6.310553
145 44 6.235836
145 45 6.310553
145 244 6.095704
145 245 6.168788
145 46 6.385906
145 146 6.313844
145 246 6.242572
146 46 6.459467
146 45 6.384340
146 46 6.459467
146 245 6.244174
146 246 6.317721
146 47 6.534735
146 147 6.462712
146 247 6.391465
147 47 6.608106
147 46 6.533205
147 47 6.608106
147 246 6.393029
147 247 6.466393
147 48 6.682628
147 148 6.610646
147 248 6.539426
148 48 6.755081
148 47 6.681131
148 48 6.755081
148 247 6.540955
148 248 6.613400
148 49 6.828211
148 149 6.756264
148 249 6.685064
149 49 6.899177
149 48 6.826746
149 49 6.899177
149 248 6.686560
149 249 6.757509
149 50 6.970555
149 150 6.898631
149 250 6.827439
150 50 7.039790
150 49 6.969120
150 50 7.039790
150 249 6.828904
150 250 6.898110
150 51 7.109463
150 151 7.037549
150 251 6.966353
151 51 7.177125
151 50 7.108057
151 51 7.177125
151 250 6.967789
151 251 7.035415
151 52 7.245517
151 152 7.173607
151 252 7.102400
152 52 7.312117
152 51 7.244137
152 52 7.312117
152 251 7.103808
152 252 7.170372
152 53 7.379889
152 153 7.307985
152 253 7.236769
153 53 7.446121
153 52 7.378534
153 53 7.446121
153 252 7.238150
153 253 7.304355
153 54 7.513973
153 154 7.442084
153 254 7.370868
154 54 7.580440
154 53 7.512642
154 54 7.580440
154 253 7.372225
154 254 7.438679
154 55 7.648899
154 155 7.577039
154 255 7.505838
155 55 7.716033
155 54 7.647591
155 55 7.716033
155 254 7.507171
155 255 7.574307
155 56 7.785363
155 156 7.713547
155 256 7.642376
156 56 7.853319
156 55 7.784078
156 56 7.853319
156 255 7.643684
156 256 7.711656
156 57 7.923516
156 157 7.851754
156 257 7.780623
157 57 7.992239
157 56 7.922254
157 57 7.992239
157 256 7.781909
157 257 7.850654
157 58 8.063133
157 158 7.991428
157 258 7.920343
158 58 8.132438
158 57 8.061893
158 58 8.132438
158 257 7.921606
158 258 7.990934
158 59 8.203792
158 159 8.132143
158 259 8.061102
159 59 8.273468
159 58 8.202573
159 59 8.273468
159 258 8.062343
159 259 8.132038
159 60 8.345064
159 160 8.273464
159 260 8.202461
160 60 8.414931
160 59 8.343865
160 60 8.414931
160 259 8.203681
160 260 8.273561
160 61 8.486611
160 161 8.415052
160 261 8.344081
161 61 8.556549
161 60 8.485433
161 61 8.556549
161 260 8.345279
161 261 8.415223
161 62 8.628219
161 162 8.556693
161 262 8.485743
162 62 8.698157
162 61 8.627060
162 62 8.698157
162 261 8.486921
162 262 8.556858
162 63 8.769775
162 163 8.698274
162 263 8.627338
163 63 8.839684
163 62 8.768636
163 63 8.839684
163 262 8.628497
163 263 8.698397
163 64 8.911237
163 164 8.839751
163 264 8.768823
164 64 8.981107
164 63 8.910114
164 64 8.981107
164 263 8.769963
164 264 8.839820
164 65 9.052603
164 165 8.981128
164 265 8.910201
165 65 9.122443
165 64 9.051498
165 65 9.122443
165 264 8.911324
165 265 8.981145
165 66 9.193897
165 166 9.122427
165 266 9.051497
166 66 9.263722
166 65 9.192809
166 66 9.263722
166 265 9.052602
166 266 9.122405
166 67 9.335155
166 167 9.263685
166 267 9.192749
167 67 9.404987
167 66 9.334084
167 67 9.404987
167 266 9.193837
167 267 9.263644
167 68 9.476418
167 168 9.404948
167 268 9.334003
168 68 9.546280
168 67 9.475364
168 68 9.546280
168 267 9.335074
168 268 9.404909
168 69 9.617726
168 169 9.546253
168 269 9.475299
169 69 9.687630
169 68 9.616687
169 69 9.687630
169 268 9.476354
169 269 9.546230
169 70 9.759098
169 170 9.687623
169 270 9.616658
170 70 9.829046
170 69 9.758074
170 70 9.829046
170 269 9.617698
170 270 9.687621
170 71 9.900531
170 171 9.829055
170 271 9.758082
171 71 9.970514
171 70 9.899521
171 71 9.970514
171 270 9.759107
171 271 9.829068
171 72 10.042001
171 172 9.970526
171 272 9.899548
172 72 10.112000
172 71 10.041005
172 72 10.112000
172 271 9.900558
172 272 9.970539
172 73 10.183472
172 173 10.112000
172 273 10.041019
173 73 10.253471
173 72 10.182489
173 73 10.253471
173 272 10.042016
173 273 10.112000
173 74 10.324913
173 174 10.253448
173 274 10.182469
174 74 10.394901
174 73 10.323944
174 74 10.394901
174 273 10.183452
174 274 10.253429
174 75 10.466312
174 175 10.394859
174 275 10.323884
175 75 10.536291
175 74 10.465357
175 75 10.536291
175 274 10.324853
175 275 10.394824
175 76 10.607677
175 176 10.536238
175 276 10.465269
176 76 10.677654
176 75 10.606735
176 76 10.677654
176 275 10.466225
176 276 10.536197
176 77 10.749029
176 177 10.677605
176 277 10.606646
177 77 10.819016
177 76 10.748099
177 77 10.819016
177 276 10.607588
177 277 10.677571
177 78 10.890389
177 178 10.818982
177 278 10.748033
178 78 10.960395
178 77 10.889472
178 78 10.960395
178 277 10.748963
178 278 10.818967
178 79 11.031775
178 179 10.960383
178 279 10.889445
179 79 11.101802
179 78 11.030868
179 79 11.101802
179 278 10.890363
179 279 10.960389
179 80 11.173186
179 180 11.101811
179 280 11.030884
180 80 11.243235
180 79 11.172292
180 80 11.243235
180 279 11.031790
180 280 11.101837
180 81 11.314619
180 181 11.243260
180 281 11.172341
181 81 11.384682
181 80 11.313736
181 81 11.384682
181 280 11.173237
181 281 11.243297
181 82 11.456060
181 182 11.384714
181 282 11.313804
182 82 11.526132
182 81 11.455188
182 82 11.526132
182 281 11.314688
182 282 11.384754
182 83 11.597498
182 183 11.526163
182 283 11.455258
183 83 11.667571
183 82 11.596636
183 83 11.667571
183 282 11.456131
183 283 11.526199
183 84 11.738922
183 184 11.667597
183 284 11.596696
184 84 11.808995
184 83 11.738070
184 84 11.808995
184 283 11.597558
184 284 11.667624
184 85 11.880330
184 185 11.809011
184 285 11.738112
185 85 11.950402
185 84 11.879488
185 85 11.950402
185 284 11.738964
185 285 11.809028
185 86 12.021724
185 186 11.950410
185 286 11.879512
186 86 12.091798
186 85 12.020892
186 86 12.091798
186 285 11.880354
186 286 11.950418
186 87 12.163110
186 187 12.091800
186 287 12.020900
187 87 12.233190
187 86 12.162288
187 87 12.233190
187 286 12.021731
187 287 12.091800
187 88 12.304496
187 188 12.233188
187 288 12.162286
188 88 12.374585
188 87 12.303682
188 88 12.374585
188 287 12.163108
188 288 12.233186
188 89 12.445889
188 189 12.374583
188 289 12.303679
189 89 12.515991
189 88 12.445086
189 89 12.515991
189 288 12.304492
189 289 12.374581
189 90 12.587296
189 190 12.515991
189 290 12.445084
190 90 12.657411
190 89 12.586501
190 90 12.657411
190 289 12.445888
190 290 12.515990
190 91 12.728713
190 191 12.657411
190 291 12.586501
191 91 12.798840
191 90 12.727927
191 91 12.798840
191 290 12.587296
191 291 12.657411
191 92 12.870138
191 192 12.798838
191 292 12.727927
192 92 12.940272
192 91 12.869361
192 92 12.940272
192 291 12.728712
192 292 12.798838
192 93 13.011563
192 193 12.940268
192 293 12.869356
193 93 13.081701
193 92 13.010795
193 93 13.081701
193 292 12.870132
193 293 12.940263
193 94 13.152983
193 194 13.081692
193 294 13.010781
194 94 13.223124
194 93 13.152223
194 94 13.223124
194 293 13.011550
194 294 13.081684
194 95 13.294394
194 195 13.223110
194 295 13.152202
195 95 13.364537
195 94 13.293642
195 95 13.364537
195 294 13.152962
195 295 13.223100
195 96 13.435799
195 196 13.364522
195 296 13.293617
196 96 13.505944
196 95 13.435054
196 96 13.505944
196 295 13.294370
196 296 13.364511
196 97 13.577200
196 197 13.505932
196 297 13.435032
197 97 13.647352
197 96 13.576464
197 97 13.647352
197 296 13.435776
197 297 13.505925
197 98 13.718604
197 198 13.647345
197 298 13.576450
198 98 13.788765
198 97 13.717875
198 98 13.788765
198 297 13.577187
198 298 13.647345
198 99 13.860014
198 199 13.788765
198 299 13.717875
199 99 13.930184
199 98 13.859293
199 99 13.930184
199 298 13.718604
199 299 13.788772
200 100 0.224116
200 101 0.200250
200 201 0.224109
200 300 0.361366
200 301 0.283487
201 101 0.100120
201 100 0.141774
201 101 0.100120
201 300 0.316804
201 301 0.224045
201 102 0.141421
201 202 0.100125
201 302 0.141714
202 102 0.100125
202 101 0.000000
202 102 0.100125
202 301 0.200207
202 302 0.100084
202 103 0.200207
202 203 0.100084
202 303 0.000000
203 103 0.224002
203 102 0.141714
203 103 0.224002
203 302 0.141421
203 303 0.100088
203 104 0.316637
203 204 0.223882
203 304 0.141594
204 104 0.361061
204 103 0.283301
204 104 0.361061
204 303 0.200122
204 304 0.223830
204 105 0.447674
204 205 0.360880
204 305 0.283064
205 105 0.500466
205 104 0.424749
205 105 0.500466
205 304 0.316426
205 305 0.360772
205 106 0.583470
205 206 0.500253
205 306 0.424428
206 106 0.640634
206 105 0.566071
206 106 0.640634
206 305 0.447369
206 306 0.500125
206 107 0.721330
206 207 0.640440
206 307 0.565752
207 107 0.781175
207 106 0.707331
207 107 0.781175
207 306 0.583160
207 307 0.640342
207 108 0.860304
207 208 0.781049
207 308 0.707110
208 108 0.921980
208 107 0.848601
208 108 0.921980
208 307 0.721113
208 308 0.781028
208 109 1.000001
208 209 0.921961
208 309 0.848563
209 109 1.063022
209 108 0.989950
209 109 1.063022
209 308 0.860267
209 309 0.922047
209 110 1.140222
209 210 1.063125
209 310 0.990140
210 110 1.204271
210 109 1.131418
210 110 1.204271
210 309 1.000188
210 310 1.063320
210 111 1.280826
210 211 1.204478
210 311 1.131818
211 111 1.345673
211 110 1.272995
211 111 1.345673
211 310 1.140619
211 311 1.204759
211 112 1.421691
211 212 1.345948
211 312 1.273546
212 112 1.487156
212 111 1.414639
212 112 1.487156
212 311 1.281374
212 312 1.346273
212 113 1.562701
212 213 1.487451
212 313 1.415252
213 113 1.628641
213 112 1.556288
213 113 1.628641
213 312 1.422300
213 313 1.487769
213 114 1.703760
213 214 1.628911
213 314 1.556870
214 114 1.770067
214 113 1.697881
214 114 1.770067
214 313 1.563280
214 314 1.629183
214 115 1.844799
214 215 1.770277
214 315 1.698355
215 115 1.911396
215 114 1.839370
215 115 1.911396
215 314 1.704233
215 315 1.770475
215 116 1.985788
215 216 1.911533
215 316 1.839698
216 116 2.052623
216 115 1.980745
216 116 2.052623
216 315 1.845126
216 316 1.911644
216 117 2.126720
216 217 2.052682
216 317 1.980911
217 117 2.193771
217 116 2.122013
217 117 2.193771
217 316 1.985952
217 317 2.052717
217 118 2.267632
217 218 2.193774
217 318 2.122046
218 118 2.334891
218 117 2.263217
218 118 2.334891
218 317 2.126754
218 318 2.193753
218 119 2.408570
218 219 2.334863
218 319 2.263168
219 119 2.476041
219 118 2.404415
219 119 2.476041
219 318 2.267582
219 319 2.334817
219 120 2.549587
219 220 2.476009
219 320 2.404338
220 120 2.617277
220 119 2.545662
220 120 2.617277
220 319 2.408494
220 320 2.475971
220 121 2.690727
220 221 2.617263
220 321 2.545614
221 121 2.758629
221 120 2.687008
221 121 2.758629
221 320 2.549539
221 321 2.617252
221 122 2.831996
221 222 2.758639
221 322 2.687011
222 122 2.900092
222 121 2.828463
222 122 2.900092
222 321 2.690730
222 322 2.758658
222 123 2.973369
222 223 2.900111
222 323 2.828507
223 123 3.041619
223 122 2.970004
223 123 3.041619
223 322 2.832041
223 323 2.900144
223 124 3.114782
223 224 3.041621
223 324 2.970044
224 124 3.183137
224 123 3.111570
224 124 3.183137
224 323 2.973409
224 324 3.041638
224 125 3.256160
224 225 3.183096
224 325 3.111549
225 125 3.324578
225 124 3.253088
225 125 3.324578
225 324 3.114761
225 325 3.183070
225 126 3.397452
225 226 3.324483
225 326 3.252971
226 126 3.465914
226 125 3.394508
226 126 3.465914
226 325 3.256044
226 326 3.324413
226 127 3.538655
226 227 3.465782
226 327 3.394309
227 127 3.607166
227 126 3.535828
227 127 3.607166
227 326 3.397254
227 327 3.465688
227 128 3.679815
227 228 3.607040
227 328 3.535609
228 128 3.748410
228 127 3.677096
228 128 3.748410
228 327 3.538437
228 328 3.606969
228 129 3.821016
228 229 3.748341
228 329 3.676957
229 129 3.889731
229 128 3.818398
229 129 3.889731
229 328 3.679676
229 329 3.748339
229 130 3.962337
229 230 3.889761
229 330 3.818427
230 130 4.031193
230 129 3.959812
230 130 4.031193
230 329 3.821045
230 330 3.889860
230 131 4.103813
230 231 4.031335
230 331 3.960052
231 131 4.172806
231 130 4.101376
231 131 4.172806
231 330 3.962577
231 331 4.031535
231 132 4.245422
231 232 4.173037
231 332 4.101803
232 132 4.314523
232 131 4.243066
232 132 4.314523
232 331 4.104240
232 332 4.173307
232 133 4.387100
232 233 4.314798
232 333 4.243608
233 133 4.456263
